step,tag,value
5586,Debug/YOLO_Max_Class_ID,1.0
5636,Debug/YOLO_Max_Class_ID,1.0
5686,Debug/YOLO_Max_Class_ID,1.0
5736,Debug/YOLO_Max_Class_ID,1.0
5786,Debug/YOLO_Max_Class_ID,1.0
5836,Debug/YOLO_Max_Class_ID,1.0
5886,Debug/YOLO_Max_Class_ID,1.0
5936,Debug/YOLO_Max_Class_ID,1.0
5986,Debug/YOLO_Max_Class_ID,1.0
6036,Debug/YOLO_Max_Class_ID,1.0
6086,Debug/YOLO_Max_Class_ID,1.0
6136,Debug/YOLO_Max_Class_ID,1.0
6186,Debug/YOLO_Max_Class_ID,1.0
6236,Debug/YOLO_Max_Class_ID,1.0
6286,Debug/YOLO_Max_Class_ID,1.0
6336,Debug/YOLO_Max_Class_ID,1.0
6386,Debug/YOLO_Max_Class_ID,1.0
6436,Debug/YOLO_Max_Class_ID,1.0
6486,Debug/YOLO_Max_Class_ID,1.0
6536,Debug/YOLO_Max_Class_ID,1.0
6586,Debug/YOLO_Max_Class_ID,1.0
6636,Debug/YOLO_Max_Class_ID,1.0
6686,Debug/YOLO_Max_Class_ID,1.0
6736,Debug/YOLO_Max_Class_ID,1.0
6786,Debug/YOLO_Max_Class_ID,1.0
6836,Debug/YOLO_Max_Class_ID,1.0
6886,Debug/YOLO_Max_Class_ID,1.0
6936,Debug/YOLO_Max_Class_ID,1.0
6986,Debug/YOLO_Max_Class_ID,1.0
7036,Debug/YOLO_Max_Class_ID,1.0
7086,Debug/YOLO_Max_Class_ID,1.0
7136,Debug/YOLO_Max_Class_ID,1.0
7186,Debug/YOLO_Max_Class_ID,1.0
7236,Debug/YOLO_Max_Class_ID,1.0
7286,Debug/YOLO_Max_Class_ID,1.0
7329,Debug/YOLO_Max_Class_ID,1.0
7379,Debug/YOLO_Max_Class_ID,1.0
7429,Debug/YOLO_Max_Class_ID,1.0
7479,Debug/YOLO_Max_Class_ID,1.0
7529,Debug/YOLO_Max_Class_ID,1.0
7579,Debug/YOLO_Max_Class_ID,1.0
7629,Debug/YOLO_Max_Class_ID,1.0
7679,Debug/YOLO_Max_Class_ID,1.0
7729,Debug/YOLO_Max_Class_ID,1.0
7779,Debug/YOLO_Max_Class_ID,1.0
7829,Debug/YOLO_Max_Class_ID,1.0
7879,Debug/YOLO_Max_Class_ID,1.0
7929,Debug/YOLO_Max_Class_ID,1.0
7979,Debug/YOLO_Max_Class_ID,1.0
8029,Debug/YOLO_Max_Class_ID,1.0
8079,Debug/YOLO_Max_Class_ID,1.0
8129,Debug/YOLO_Max_Class_ID,1.0
8179,Debug/YOLO_Max_Class_ID,1.0
8229,Debug/YOLO_Max_Class_ID,1.0
8279,Debug/YOLO_Max_Class_ID,1.0
8329,Debug/YOLO_Max_Class_ID,1.0
8379,Debug/YOLO_Max_Class_ID,1.0
8429,Debug/YOLO_Max_Class_ID,1.0
8479,Debug/YOLO_Max_Class_ID,1.0
8529,Debug/YOLO_Max_Class_ID,1.0
8579,Debug/YOLO_Max_Class_ID,1.0
8629,Debug/YOLO_Max_Class_ID,1.0
8679,Debug/YOLO_Max_Class_ID,1.0
8729,Debug/YOLO_Max_Class_ID,1.0
8779,Debug/YOLO_Max_Class_ID,1.0
8829,Debug/YOLO_Max_Class_ID,1.0
8879,Debug/YOLO_Max_Class_ID,1.0
8929,Debug/YOLO_Max_Class_ID,1.0
8979,Debug/YOLO_Max_Class_ID,1.0
9029,Debug/YOLO_Max_Class_ID,1.0
9079,Debug/YOLO_Max_Class_ID,1.0
9129,Debug/YOLO_Max_Class_ID,1.0
9179,Debug/YOLO_Max_Class_ID,1.0
9229,Debug/YOLO_Max_Class_ID,1.0
9279,Debug/YOLO_Max_Class_ID,1.0
9329,Debug/YOLO_Max_Class_ID,1.0
9379,Debug/YOLO_Max_Class_ID,1.0
9429,Debug/YOLO_Max_Class_ID,1.0
9479,Debug/YOLO_Max_Class_ID,1.0
9529,Debug/YOLO_Max_Class_ID,1.0
9579,Debug/YOLO_Max_Class_ID,1.0
9629,Debug/YOLO_Max_Class_ID,1.0
9679,Debug/YOLO_Max_Class_ID,1.0
9729,Debug/YOLO_Max_Class_ID,1.0
