t,frame,mode,bx,by,bz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cmd_vx,cmd_yaw,roll_bal,pitch_bal,front_right_fx,front_right_fy,front_right_fz,front_right_contact,front_right_tau_coxa,front_right_tau_femur,front_right_tau_tibia,front_right_state,front_left_fx,front_left_fy,front_left_fz,front_left_contact,front_left_tau_coxa,front_left_tau_femur,front_left_tau_tibia,front_left_state,mid_right_fx,mid_right_fy,mid_right_fz,mid_right_contact,mid_right_tau_coxa,mid_right_tau_femur,mid_right_tau_tibia,mid_right_state,mid_left_fx,mid_left_fy,mid_left_fz,mid_left_contact,mid_left_tau_coxa,mid_left_tau_femur,mid_left_tau_tibia,mid_left_state,rear_right_fx,rear_right_fy,rear_right_fz,rear_right_contact,rear_right_tau_coxa,rear_right_tau_femur,rear_right_tau_tibia,rear_right_state,rear_left_fx,rear_left_fy,rear_left_fz,rear_left_contact,rear_left_tau_coxa,rear_left_tau_femur,rear_left_tau_tibia,rear_left_state
0.000,4,1,0.0017,-0.0040,0.2038,-0.0007,-0.0046,0.0061,-0.0034,-0.0011,0.0005,-0.0342,0.0546,-0.0494,0.000,0.000,0.0000,0.0000,0.2945,-0.1875,0.0149,1,0.453,1.028,0.658,,0.2946,0.1848,0.0149,0,0.015,0.100,0.076,,0.0045,-0.3407,0.0140,1,0.293,2.331,1.330,,-0.0003,0.3327,0.0140,1,0.539,2.940,1.640,,-0.3027,-0.2034,0.0150,1,0.312,0.647,0.422,,-0.3067,0.1915,0.0150,0,0.244,0.644,0.382,
0.071,8,1,0.0017,-0.0040,0.2037,-0.0007,-0.0047,0.0062,0.0006,-0.0005,-0.0020,-0.0178,-0.0290,-0.0001,0.000,0.000,0.0000,0.0000,0.2944,-0.1875,0.0149,0,0.013,0.015,0.008,,0.2946,0.1848,0.0149,0,0.075,0.094,0.087,,0.0045,-0.3407,0.0140,1,0.279,2.564,1.411,,-0.0003,0.3327,0.0139,1,0.436,2.940,1.742,,-0.3026,-0.2033,0.0150,1,0.211,0.645,0.399,,-0.3057,0.1907,0.0148,1,0.068,0.057,0.051,
0.092,12,1,0.0017,-0.0040,0.2037,-0.0007,-0.0047,0.0062,0.0015,0.0025,0.0014,0.0026,-0.0199,0.0010,0.000,0.000,0.0000,0.0000,0.2945,-0.1875,0.0149,0,0.047,0.082,0.055,,0.2948,0.1850,0.0149,0,0.021,0.046,0.049,,0.0045,-0.3407,0.0140,1,0.297,2.885,1.566,,-0.0003,0.3327,0.0139,1,0.259,2.940,1.620,,-0.3026,-0.2033,0.0150,1,0.293,0.737,0.559,,-0.3062,0.1911,0.0149,1,0.332,0.779,0.590,
0.154,16,1,0.0017,-0.0040,0.2037,-0.0007,-0.0047,0.0063,0.0020,0.0016,0.0016,0.0039,-0.0162,0.0014,0.000,0.000,0.0000,0.0000,0.2945,-0.1875,0.0149,0,0.058,0.111,0.066,,0.2947,0.1849,0.0149,0,0.015,0.012,0.025,,0.0045,-0.3407,0.0140,1,0.306,2.892,1.551,,-0.0004,0.3327,0.0139,1,0.287,2.940,1.653,,-0.3025,-0.2033,0.0149,1,0.298,0.748,0.574,,-0.3066,0.1914,0.0150,1,0.285,0.699,0.421,
0.176,20,1,0.0017,-0.0040,0.2037,-0.0008,-0.0047,0.0063,0.0005,0.0004,-0.0013,-0.0158,-0.0305,0.0020,0.000,0.000,0.0000,0.0000,0.2945,-0.1876,0.0149,0,0.018,0.021,0.004,,0.2947,0.1849,0.0149,0,0.066,0.058,0.056,,0.0045,-0.3407,0.0140,1,0.405,2.571,1.416,,-0.0004,0.3327,0.0139,1,0.592,2.940,1.732,,-0.3023,-0.2032,0.0149,1,0.228,0.672,0.519,,-0.3060,0.1908,0.0148,1,0.065,0.059,0.029,
0.240,24,1,0.0017,-0.0040,0.2037,-0.0007,-0.0047,0.0064,0.0017,0.0020,-0.0003,0.0360,-0.0272,-0.0079,0.000,0.000,0.0000,0.0000,0.2946,-0.1876,0.0149,1,0.168,0.246,0.149,,0.2948,0.1850,0.0149,0,0.013,0.034,0.049,,0.0046,-0.3407,0.0140,1,0.108,2.940,1.544,,-0.0004,0.3327,0.0139,1,0.148,2.901,1.619,,-0.3021,-0.2031,0.0149,1,0.126,0.043,0.049,,-0.3066,0.1913,0.0149,1,0.343,0.819,0.634,
0.261,28,1,0.0017,-0.0040,0.2037,-0.0008,-0.0046,0.0063,-0.0044,-0.0007,0.0007,-0.0249,0.0410,-0.0508,0.000,0.000,0.0000,0.0000,0.2947,-0.1877,0.0149,1,0.560,1.068,0.682,,0.2947,0.1850,0.0149,0,0.005,0.068,0.056,,0.0046,-0.3407,0.0140,1,0.570,2.566,1.314,,-0.0004,0.3327,0.0139,1,0.901,2.940,1.615,,-0.3022,-0.2032,0.0149,1,0.152,0.023,0.013,,-0.3070,0.1916,0.0150,0,0.282,0.738,0.454,
0.327,32,1,0.0017,-0.0040,0.2037,-0.0008,-0.0047,0.0064,0.0016,0.0023,-0.0002,-0.0009,-0.0318,0.0004,0.000,0.000,0.0000,0.0000,0.2947,-0.1876,0.0149,0,0.029,0.025,0.018,,0.2948,0.1850,0.0149,0,0.062,0.085,0.086,,0.0046,-0.3407,0.0140,1,0.133,2.843,1.465,,-0.0004,0.3327,0.0139,1,0.384,2.940,1.674,,-0.3021,-0.2031,0.0149,1,0.045,0.060,0.043,,-0.3063,0.1910,0.0149,1,0.064,0.043,0.041,
0.349,36,1,0.0017,-0.0040,0.2037,-0.0007,-0.0047,0.0065,0.0014,0.0014,-0.0006,0.0356,-0.0268,-0.0088,0.000,0.000,0.0000,0.0000,0.2946,-0.1875,0.0149,1,0.176,0.253,0.158,,0.2948,0.1850,0.0149,0,0.016,0.039,0.053,,0.0046,-0.3407,0.0140,1,0.106,2.940,1.542,,-0.0004,0.3327,0.0139,1,0.135,2.906,1.626,,-0.3020,-0.2030,0.0149,1,0.124,0.043,0.052,,-0.3065,0.1912,0.0149,1,0.340,0.812,0.629,
0.417,40,1,0.0017,-0.0040,0.2037,-0.0007,-0.0046,0.0064,-0.0045,-0.0009,0.0007,-0.0246,0.0400,-0.0497,0.000,0.000,0.0000,0.0000,0.2946,-0.1875,0.0149,1,0.599,0.975,0.616,,0.2948,0.1850,0.0149,0,0.003,0.070,0.058,,0.0046,-0.3407,0.0140,1,0.490,2.602,1.335,,-0.0004,0.3327,0.0139,1,0.872,2.940,1.606,,-0.3019,-0.2030,0.0148,1,0.148,0.022,0.014,,-0.3068,0.1914,0.0150,0,0.278,0.727,0.449,
0.438,44,1,0.0017,-0.0040,0.2038,-0.0007,-0.0046,0.0065,-0.0016,-0.0035,0.0010,-0.0050,0.0523,0.0178,0.000,0.000,0.0000,0.0000,0.2946,-0.1875,0.0149,1,0.684,1.170,0.735,,0.2947,0.1850,0.0149,0,0.012,0.046,0.042,,0.0046,-0.3407,0.0140,1,0.030,2.291,1.462,,-0.0004,0.3327,0.0139,1,0.696,2.940,1.646,,-0.3029,-0.2037,0.0150,0,0.218,0.598,0.375,,-0.3069,0.1915,0.0151,0,0.241,0.656,0.399,
0.500,48,1,0.0017,-0.0040,0.2038,-0.0007,-0.0046,0.0065,0.0006,0.0010,-0.0003,-0.0019,-0.0308,-0.0030,0.000,0.000,0.0000,0.0000,0.2946,-0.1874,0.0149,0,0.005,0.004,0.025,,0.2947,0.1850,0.0149,0,0.042,0.038,0.049,,0.0046,-0.3407,0.0140,1,0.058,2.785,1.432,,-0.0004,0.3327,0.0139,1,0.281,2.940,1.715,,-0.3019,-0.2029,0.0149,1,0.050,0.047,0.047,,-0.3058,0.1907,0.0148,1,0.069,0.036,0.050,
0.521,52,1,0.0017,-0.0040,0.2038,-0.0006,-0.0047,0.0066,0.0001,0.0009,-0.0004,-0.0034,-0.0303,-0.0036,0.000,0.000,0.0000,0.0000,0.2945,-0.1874,0.0149,0,0.003,0.001,0.020,,0.2945,0.1848,0.0149,0,0.040,0.033,0.046,,0.0046,-0.3407,0.0140,1,0.041,2.802,1.439,,-0.0004,0.3327,0.0139,1,0.256,2.940,1.709,,-0.3019,-0.2029,0.0149,1,0.051,0.047,0.046,,-0.3056,0.1905,0.0149,1,0.069,0.035,0.049,
0.585,56,1,0.0017,-0.0040,0.2038,-0.0005,-0.0047,0.0066,-0.0001,0.0005,-0.0011,-0.0054,-0.0296,-0.0037,0.000,0.000,0.0000,0.0000,0.2946,-0.1874,0.0149,0,0.005,0.009,0.028,,0.2943,0.1847,0.0149,0,0.041,0.040,0.049,,0.0046,-0.3407,0.0140,1,0.015,2.777,1.427,,-0.0004,0.3327,0.0139,1,0.222,2.940,1.722,,-0.3021,-0.2031,0.0149,1,0.052,0.046,0.048,,-0.3056,0.1906,0.0149,1,0.070,0.036,0.050,
0.606,60,1,0.0017,-0.0040,0.2038,-0.0006,-0.0047,0.0066,0.0007,0.0018,-0.0010,0.0304,-0.0267,-0.0080,0.000,0.000,0.0000,0.0000,0.2947,-0.1875,0.0149,1,0.152,0.240,0.144,,0.2944,0.1848,0.0149,0,0.012,0.030,0.046,,0.0046,-0.3407,0.0140,1,0.067,2.940,1.540,,-0.0004,0.3327,0.0139,1,0.069,2.895,1.617,,-0.3020,-0.2030,0.0149,1,0.122,0.042,0.046,,-0.3062,0.1910,0.0149,1,0.337,0.799,0.618,
0.674,64,7,0.0017,-0.0040,0.2016,0.0000,-0.0036,0.0068,-0.0040,0.0005,-0.1786,0.0315,0.0996,0.0063,0.000,0.000,-0.0001,-0.0022,0.2950,-0.1876,0.0197,0,0.000,0.032,0.062,STANCE,0.2937,0.1845,0.0184,0,0.000,0.028,0.052,STANCE,0.0045,-0.3408,0.0188,0,0.000,0.031,0.064,STANCE,-0.0004,0.3330,0.0191,0,0.000,0.031,0.063,STANCE,-0.3011,-0.2015,0.0192,0,0.001,0.040,0.091,STANCE,-0.3049,0.1895,0.0194,0,0.002,0.022,0.105,STANCE
0.693,68,7,0.0014,-0.0039,0.1990,0.0010,-0.0055,0.0070,-0.0353,0.0167,0.1133,-0.0468,-0.1205,0.0255,0.000,0.000,0.0002,-0.0028,0.2949,-0.1872,0.0157,0,0.034,0.194,0.010,STANCE,0.2929,0.1842,0.0143,1,0.566,2.940,2.940,STANCE,0.0046,-0.3401,0.0148,1,0.722,2.940,2.940,STANCE,-0.0002,0.3326,0.0150,0,0.125,0.401,0.024,STANCE,-0.2968,-0.1981,0.0146,1,1.358,2.940,2.001,LIFT,-0.2997,0.1862,0.0140,1,2.940,2.940,2.940,STANCE
0.761,72,7,0.0012,-0.0037,0.2039,0.0009,-0.0052,0.0074,-0.0032,0.0074,0.2663,-0.0310,0.0391,0.0272,0.000,0.000,0.0007,-0.0040,0.2948,-0.1869,0.0153,0,0.004,0.003,0.046,STANCE,0.2927,0.1842,0.0147,0,0.007,0.001,0.041,STANCE,0.0046,-0.3398,0.0144,1,0.245,1.299,0.748,STANCE,-0.0002,0.3325,0.0142,1,0.059,0.800,0.351,STANCE,-0.2932,-0.1952,0.0164,0,0.005,0.008,0.002,LIFT,-0.3006,0.1872,0.0139,1,0.206,0.567,0.280,STANCE
0.781,76,7,0.0012,-0.0036,0.2074,0.0006,-0.0045,0.0078,0.0026,0.0041,0.1727,-0.0154,0.0400,0.0244,0.000,0.000,0.0007,-0.0043,0.2947,-0.1869,0.0157,0,0.001,0.010,0.030,STANCE,0.2926,0.1840,0.0152,0,0.003,0.011,0.027,STANCE,0.0047,-0.3397,0.0144,1,0.229,1.723,0.874,STANCE,-0.0001,0.3325,0.0143,1,0.002,1.172,0.509,STANCE,-0.2909,-0.1938,0.0183,0,0.002,0.016,0.001,LIFT,-0.3031,0.1892,0.0143,1,0.262,0.699,0.380,STANCE
0.852,80,7,0.0013,-0.0036,0.2097,0.0005,-0.0039,0.0082,0.0076,0.0026,0.1121,-0.0027,0.0374,0.0223,0.000,0.000,0.0006,-0.0041,0.2946,-0.1868,0.0159,0,0.001,0.018,0.020,STANCE,0.2926,0.1838,0.0155,0,0.003,0.018,0.019,STANCE,0.0047,-0.3396,0.0143,1,0.358,2.004,0.979,STANCE,-0.0001,0.3324,0.0143,1,0.151,1.322,0.539,STANCE,-0.2893,-0.1928,0.0197,0,0.002,0.023,0.002,LIFT,-0.3061,0.1917,0.0148,1,0.329,0.865,0.491,STANCE
0.872,84,7,0.0014,-0.0036,0.2112,0.0003,-0.0032,0.0082,0.0040,0.0014,0.0730,-0.0191,0.0699,-0.0259,0.000,0.000,0.0005,-0.0037,0.2946,-0.1868,0.0159,0,0.025,0.019,0.007,STANCE,0.2925,0.1837,0.0156,0,0.041,0.015,0.000,STANCE,0.0047,-0.3396,0.0142,1,0.086,1.943,0.830,STANCE,-0.0001,0.3324,0.0143,1,0.235,1.397,0.503,STANCE,-0.2883,-0.1921,0.0207,0,0.053,0.055,0.006,LIFT,-0.3070,0.1925,0.0151,0,0.268,0.782,0.435,STANCE
0.935,88,7,0.0015,-0.0036,0.2121,0.0003,-0.0030,0.0083,0.0026,0.0006,0.0472,-0.0144,0.0556,-0.0266,0.000,0.000,0.0004,-0.0032,0.2945,-0.1868,0.0158,0,0.023,0.009,0.004,STANCE,0.2925,0.1836,0.0155,0,0.039,0.010,0.005,STANCE,0.0048,-0.3395,0.0142,1,0.158,1.994,0.805,STANCE,-0.0001,0.3324,0.0142,1,0.281,1.486,0.537,STANCE,-0.2876,-0.1917,0.0213,0,0.057,0.059,0.008,LIFT,-0.3067,0.1923,0.0150,0,0.264,0.774,0.436,STANCE
