t,frame,mode,bx,by,bz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cmd_vx,cmd_yaw,roll_bal,pitch_bal,front_right_fx,front_right_fy,front_right_fz,front_right_contact,front_right_tau_coxa,front_right_tau_femur,front_right_tau_tibia,front_right_state,front_left_fx,front_left_fy,front_left_fz,front_left_contact,front_left_tau_coxa,front_left_tau_femur,front_left_tau_tibia,front_left_state,mid_right_fx,mid_right_fy,mid_right_fz,mid_right_contact,mid_right_tau_coxa,mid_right_tau_femur,mid_right_tau_tibia,mid_right_state,mid_left_fx,mid_left_fy,mid_left_fz,mid_left_contact,mid_left_tau_coxa,mid_left_tau_femur,mid_left_tau_tibia,mid_left_state,rear_right_fx,rear_right_fy,rear_right_fz,rear_right_contact,rear_right_tau_coxa,rear_right_tau_femur,rear_right_tau_tibia,rear_right_state,rear_left_fx,rear_left_fy,rear_left_fz,rear_left_contact,rear_left_tau_coxa,rear_left_tau_femur,rear_left_tau_tibia,rear_left_state
0.000,4,7,-0.2352,0.0339,0.1178,-0.0002,-0.0732,1.7066,0.0016,0.0021,-0.0003,0.3744,0.0512,-0.0009,0.000,0.000,0.0000,0.0000,-0.0946,0.4047,0.0148,1,0.899,0.653,0.341,STANCE,-0.4637,0.3064,0.0148,1,0.223,0.743,0.633,STANCE,0.1074,0.0673,0.0148,1,0.667,0.159,0.041,STANCE,-0.5807,0.0212,0.0147,1,1.063,0.410,0.094,STANCE,-0.0096,-0.2178,0.0148,1,0.590,0.100,0.842,STANCE,-0.3786,-0.3162,0.0147,1,1.003,0.237,1.296,STANCE
0.058,8,7,-0.2352,0.0339,0.1178,-0.0002,-0.0805,1.7065,0.0027,-0.0022,-0.0008,0.3542,0.0471,0.0103,0.000,0.000,0.0000,0.0000,-0.0946,0.4047,0.0148,1,1.093,0.798,0.524,STANCE,-0.4637,0.3064,0.0147,1,0.221,0.812,0.687,STANCE,0.1074,0.0672,0.0148,1,0.915,0.268,0.022,STANCE,-0.5807,0.0212,0.0147,1,1.300,0.415,0.040,STANCE,-0.0096,-0.2179,0.0148,1,0.451,0.292,0.968,STANCE,-0.3787,-0.3162,0.0147,1,1.038,0.075,0.978,STANCE
0.080,12,7,-0.2352,0.0338,0.1177,-0.0002,-0.0874,1.7065,0.0012,-0.0039,-0.0004,0.3358,0.0468,-0.0000,0.000,0.000,0.0000,0.0000,-0.0945,0.4046,0.0148,1,0.119,1.019,0.842,STANCE,-0.4637,0.3064,0.0147,1,0.129,0.559,0.477,STANCE,0.1074,0.0671,0.0148,1,0.900,0.167,0.406,STANCE,-0.5807,0.0211,0.0147,1,0.925,0.666,0.402,STANCE,-0.0095,-0.2180,0.0147,1,0.046,0.432,0.304,STANCE,-0.3786,-0.3162,0.0147,1,0.089,0.157,1.159,STANCE
0.133,16,7,-0.2352,0.0337,0.1177,-0.0002,-0.0940,1.7065,-0.0009,-0.0036,0.0001,0.3178,0.0425,0.0022,0.000,0.000,0.0000,0.0000,-0.0946,0.4045,0.0148,1,0.643,0.390,0.036,STANCE,-0.4638,0.3063,0.0147,1,0.048,0.655,0.560,STANCE,0.1074,0.0671,0.0148,1,0.528,0.300,0.146,STANCE,-0.5807,0.0210,0.0147,1,0.639,0.357,0.082,STANCE,-0.0096,-0.2180,0.0147,1,0.129,0.137,0.929,STANCE,-0.3787,-0.3164,0.0147,1,0.374,0.147,0.487,STANCE
0.155,20,7,-0.2352,0.0337,0.1177,-0.0002,-0.1002,1.7065,0.0025,-0.0045,-0.0004,0.3018,0.0425,0.0004,0.000,0.000,0.0000,0.0000,-0.0945,0.4045,0.0148,1,0.449,0.877,0.621,STANCE,-0.4638,0.3063,0.0147,1,0.126,0.786,0.663,STANCE,0.1074,0.0670,0.0147,1,0.882,0.357,0.106,STANCE,-0.5807,0.0210,0.0147,1,1.205,0.617,0.196,STANCE,-0.0095,-0.2181,0.0147,1,0.156,0.293,0.202,STANCE,-0.3786,-0.3164,0.0147,1,0.284,0.120,1.022,STANCE
0.212,24,7,-0.2352,0.0336,0.1177,-0.0002,-0.1062,1.7065,-0.0022,-0.0015,-0.0002,0.2892,0.0396,0.0004,0.000,0.000,0.0000,0.0000,-0.0945,0.4044,0.0148,1,0.745,0.737,0.522,STANCE,-0.4638,0.3062,0.0147,1,0.143,0.999,0.832,STANCE,0.1075,0.0670,0.0147,1,0.954,0.334,0.006,STANCE,-0.5807,0.0210,0.0147,1,1.176,0.418,0.015,STANCE,-0.0096,-0.2181,0.0147,1,0.354,0.079,0.906,STANCE,-0.3786,-0.3164,0.0146,1,0.789,0.052,0.613,STANCE
0.233,28,7,-0.2352,0.0336,0.1177,-0.0002,-0.1119,1.7064,-0.0009,-0.0002,0.0002,0.2741,0.0377,-0.0061,0.000,0.000,0.0000,0.0000,-0.0945,0.4044,0.0147,1,0.669,0.771,0.520,STANCE,-0.4638,0.3062,0.0147,1,0.145,0.711,0.590,STANCE,0.1074,0.0669,0.0147,1,0.758,0.417,0.160,STANCE,-0.5807,0.0209,0.0146,1,1.013,0.406,0.059,STANCE,-0.0096,-0.2182,0.0147,1,0.162,0.402,1.516,STANCE,-0.3787,-0.3165,0.0146,1,0.397,0.184,0.378,STANCE
0.282,32,7,-0.2352,0.0336,0.1177,-0.0002,-0.1173,1.7064,0.0014,-0.0001,0.0003,0.2592,0.0353,0.0077,0.000,0.000,0.0000,0.0000,-0.0945,0.4044,0.0147,1,1.161,0.854,0.528,STANCE,-0.4637,0.3062,0.0147,1,0.183,0.898,0.734,STANCE,0.1074,0.0669,0.0147,1,0.723,0.206,0.043,STANCE,-0.5807,0.0210,0.0146,1,1.036,0.455,0.067,STANCE,-0.0097,-0.2182,0.0147,1,0.616,0.273,1.113,STANCE,-0.3787,-0.3165,0.0146,1,1.383,0.096,0.678,STANCE
0.304,36,7,-0.2352,0.0336,0.1177,-0.0002,-0.1224,1.7063,0.0018,-0.0008,0.0004,0.2480,0.0343,-0.0043,0.000,0.000,0.0000,0.0000,-0.0945,0.4044,0.0147,1,0.986,0.999,0.690,STANCE,-0.4637,0.3061,0.0147,1,0.181,0.734,0.600,STANCE,0.1074,0.0668,0.0147,1,0.450,0.149,0.206,STANCE,-0.5807,0.0209,0.0146,1,1.166,0.541,0.132,STANCE,-0.0096,-0.2182,0.0147,1,0.491,0.010,0.551,STANCE,-0.3787,-0.3165,0.0146,1,0.625,0.013,0.828,STANCE
0.360,40,7,-0.2352,0.0336,0.1177,-0.0002,-0.1272,1.7063,0.0008,0.0007,0.0006,0.2369,0.0317,-0.0004,0.000,0.000,0.0000,0.0000,-0.0945,0.4043,0.0147,1,1.216,0.884,0.530,STANCE,-0.4637,0.3061,0.0147,1,0.287,0.866,0.689,STANCE,0.1074,0.0668,0.0147,1,0.623,0.246,0.056,STANCE,-0.5807,0.0210,0.0146,1,1.121,0.426,0.006,STANCE,-0.0097,-0.2182,0.0147,1,0.685,0.287,1.206,STANCE,-0.3787,-0.3165,0.0146,1,1.185,0.034,0.768,STANCE
