t,frame,mode,bx,by,bz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cmd_vx,cmd_yaw,roll_bal,pitch_bal,front_right_fx,front_right_fy,front_right_fz,front_right_contact,front_right_tau_coxa,front_right_tau_femur,front_right_tau_tibia,front_right_state,front_left_fx,front_left_fy,front_left_fz,front_left_contact,front_left_tau_coxa,front_left_tau_femur,front_left_tau_tibia,front_left_state,mid_right_fx,mid_right_fy,mid_right_fz,mid_right_contact,mid_right_tau_coxa,mid_right_tau_femur,mid_right_tau_tibia,mid_right_state,mid_left_fx,mid_left_fy,mid_left_fz,mid_left_contact,mid_left_tau_coxa,mid_left_tau_femur,mid_left_tau_tibia,mid_left_state,rear_right_fx,rear_right_fy,rear_right_fz,rear_right_contact,rear_right_tau_coxa,rear_right_tau_femur,rear_right_tau_tibia,rear_right_state,rear_left_fx,rear_left_fy,rear_left_fz,rear_left_contact,rear_left_tau_coxa,rear_left_tau_femur,rear_left_tau_tibia,rear_left_state
0.000,4,1,-1.9277,0.0836,0.1285,-0.0000,-0.0002,-0.5526,-0.0006,-0.0004,0.0001,0.0008,-0.0014,-0.0005,0.000,0.000,0.0000,0.0000,-1.7775,-0.2265,0.0145,1,0.821,0.871,0.667,,-1.5832,0.0885,0.0145,1,0.041,1.000,0.912,,-2.1037,-0.2018,0.0144,1,0.465,1.014,0.916,,-1.7518,0.3687,0.0144,1,0.519,0.931,0.662,,-2.2723,0.0786,0.0144,1,0.171,1.251,1.049,,-2.0781,0.3938,0.0144,1,0.472,0.772,0.694,
0.077,8,1,-1.9277,0.0836,0.1285,-0.0000,-0.0002,-0.5526,-0.0006,-0.0004,0.0001,0.0008,-0.0014,-0.0005,0.000,0.000,0.0000,0.0000,-1.7775,-0.2265,0.0145,1,0.821,0.871,0.667,,-1.5832,0.0885,0.0145,1,0.039,1.003,0.916,,-2.1037,-0.2018,0.0144,1,0.465,1.014,0.916,,-1.7518,0.3687,0.0144,1,0.519,0.932,0.662,,-2.2723,0.0786,0.0144,1,0.172,1.255,1.054,,-2.0781,0.3938,0.0144,1,0.472,0.771,0.693,
0.099,12,1,-1.9277,0.0836,0.1285,-0.0000,-0.0002,-0.5526,-0.0006,-0.0004,0.0001,0.0008,-0.0014,-0.0005,0.000,0.000,0.0000,0.0000,-1.7775,-0.2265,0.0145,1,0.822,0.872,0.667,,-1.5832,0.0885,0.0145,1,0.037,1.006,0.919,,-2.1037,-0.2018,0.0144,1,0.465,1.014,0.917,,-1.7518,0.3687,0.0144,1,0.520,0.933,0.664,,-2.2723,0.0786,0.0144,1,0.171,1.260,1.060,,-2.0781,0.3938,0.0144,1,0.472,0.771,0.693,
0.173,16,1,-1.9277,0.0836,0.1285,-0.0000,-0.0002,-0.5526,-0.0006,-0.0004,0.0001,0.0008,-0.0014,-0.0005,0.000,0.000,0.0000,0.0000,-1.7775,-0.2265,0.0145,1,0.823,0.872,0.668,,-1.5832,0.0885,0.0145,1,0.035,1.009,0.923,,-2.1037,-0.2018,0.0144,1,0.465,1.015,0.917,,-1.7518,0.3687,0.0144,1,0.519,0.934,0.664,,-2.2723,0.0786,0.0144,1,0.172,1.264,1.064,,-2.0781,0.3938,0.0144,1,0.471,0.770,0.692,
0.195,20,1,-1.9277,0.0836,0.1285,-0.0000,-0.0002,-0.5526,-0.0006,-0.0004,0.0001,0.0009,-0.0014,-0.0005,0.000,0.000,0.0000,0.0000,-1.7775,-0.2265,0.0145,1,0.823,0.873,0.668,,-1.5832,0.0885,0.0145,1,0.033,1.011,0.926,,-2.1037,-0.2018,0.0144,1,0.466,1.015,0.917,,-1.7518,0.3687,0.0144,1,0.521,0.935,0.666,,-2.2723,0.0786,0.0144,1,0.172,1.268,1.070,,-2.0781,0.3938,0.0144,1,0.471,0.769,0.691,
0.274,24,1,-1.9277,0.0836,0.1285,-0.0000,-0.0002,-0.5527,0.0002,-0.0003,-0.0001,0.0006,-0.0006,-0.0006,0.000,0.000,0.0000,0.0000,-1.7775,-0.2265,0.0145,1,0.831,0.959,0.790,,-1.5832,0.0885,0.0145,1,0.039,0.969,0.844,,-2.1037,-0.2018,0.0144,1,0.485,1.005,0.906,,-1.7518,0.3687,0.0144,1,0.556,1.011,0.781,,-2.2723,0.0786,0.0144,1,0.162,1.289,1.091,,-2.0781,0.3938,0.0144,1,0.489,0.777,0.697,
0.296,28,1,-1.9277,0.0836,0.1285,-0.0000,-0.0002,-0.5527,0.0005,-0.0002,-0.0001,0.0006,-0.0004,-0.0006,0.000,0.000,0.0000,0.0000,-1.7775,-0.2265,0.0145,1,0.833,0.974,0.811,,-1.5832,0.0885,0.0145,1,0.034,0.978,0.852,,-2.1037,-0.2018,0.0144,1,0.491,1.005,0.906,,-1.7518,0.3687,0.0144,1,0.556,1.010,0.782,,-2.2723,0.0786,0.0144,1,0.175,1.288,1.091,,-2.0781,0.3938,0.0144,1,0.495,0.778,0.698,
0.377,32,1,-1.9277,0.0836,0.1285,-0.0000,-0.0002,-0.5527,0.0005,-0.0002,-0.0001,0.0005,-0.0004,-0.0007,0.000,0.000,0.0000,0.0000,-1.7775,-0.2265,0.0145,1,0.829,0.977,0.815,,-1.5832,0.0885,0.0145,1,0.030,0.982,0.857,,-2.1037,-0.2018,0.0144,1,0.493,1.005,0.906,,-1.7518,0.3687,0.0144,1,0.554,1.011,0.784,,-2.2723,0.0786,0.0144,1,0.176,1.290,1.093,,-2.0781,0.3938,0.0144,1,0.496,0.779,0.698,
0.401,36,1,-1.9277,0.0836,0.1285,-0.0000,-0.0002,-0.5527,0.0006,-0.0002,-0.0001,0.0005,-0.0004,-0.0007,0.000,0.000,0.0000,0.0000,-1.7775,-0.2265,0.0145,1,0.828,0.978,0.817,,-1.5832,0.0885,0.0145,1,0.027,0.986,0.862,,-2.1037,-0.2018,0.0144,1,0.494,1.006,0.906,,-1.7518,0.3687,0.0144,1,0.552,1.012,0.785,,-2.2723,0.0786,0.0144,1,0.177,1.292,1.096,,-2.0781,0.3938,0.0144,1,0.496,0.779,0.698,
0.480,40,1,-1.9277,0.0836,0.1285,-0.0000,-0.0002,-0.5527,0.0006,-0.0002,-0.0001,0.0005,-0.0004,-0.0007,0.000,0.000,0.0000,0.0000,-1.7775,-0.2265,0.0145,1,0.827,0.979,0.818,,-1.5832,0.0885,0.0145,1,0.025,0.988,0.866,,-2.1037,-0.2018,0.0144,1,0.495,1.006,0.906,,-1.7518,0.3687,0.0144,1,0.550,1.013,0.786,,-2.2723,0.0786,0.0144,1,0.178,1.294,1.099,,-2.0781,0.3938,0.0144,1,0.496,0.778,0.698,
