t,frame,mode,bx,by,bz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cmd_vx,cmd_yaw,roll_bal,pitch_bal,front_right_fx,front_right_fy,front_right_fz,front_right_contact,front_right_tau_coxa,front_right_tau_femur,front_right_tau_tibia,front_right_state,front_left_fx,front_left_fy,front_left_fz,front_left_contact,front_left_tau_coxa,front_left_tau_femur,front_left_tau_tibia,front_left_state,mid_right_fx,mid_right_fy,mid_right_fz,mid_right_contact,mid_right_tau_coxa,mid_right_tau_femur,mid_right_tau_tibia,mid_right_state,mid_left_fx,mid_left_fy,mid_left_fz,mid_left_contact,mid_left_tau_coxa,mid_left_tau_femur,mid_left_tau_tibia,mid_left_state,rear_right_fx,rear_right_fy,rear_right_fz,rear_right_contact,rear_right_tau_coxa,rear_right_tau_femur,rear_right_tau_tibia,rear_right_state,rear_left_fx,rear_left_fy,rear_left_fz,rear_left_contact,rear_left_tau_coxa,rear_left_tau_femur,rear_left_tau_tibia,rear_left_state
0.000,4,1,0.0002,0.0003,0.2045,-0.0001,0.0001,-0.0001,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.000,0.000,0.0000,0.0000,0.2907,-0.1848,0.0144,1,0.462,0.417,0.094,,0.2907,0.1852,0.0144,1,0.088,0.028,0.342,,0.0002,-0.3347,0.0145,1,0.432,0.210,0.086,,0.0002,0.3353,0.0144,1,0.657,0.339,0.016,,-0.2903,-0.1847,0.0145,1,0.162,0.048,0.226,,-0.2903,0.1853,0.0145,1,0.539,0.067,0.336,
0.022,8,1,0.0002,0.0003,0.2045,-0.0001,0.0001,-0.0001,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.000,0.000,0.0000,0.0000,0.2907,-0.1848,0.0144,1,0.462,0.417,0.094,,0.2907,0.1852,0.0144,1,0.089,0.028,0.342,,0.0002,-0.3347,0.0145,1,0.431,0.210,0.087,,0.0002,0.3353,0.0144,1,0.657,0.339,0.016,,-0.2903,-0.1847,0.0145,1,0.162,0.048,0.227,,-0.2903,0.1853,0.0145,1,0.539,0.067,0.336,
0.072,12,1,0.0002,0.0003,0.2045,-0.0001,0.0001,-0.0001,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.000,0.000,0.0000,0.0000,0.2907,-0.1848,0.0144,1,0.462,0.417,0.093,,0.2907,0.1852,0.0144,1,0.091,0.029,0.342,,0.0002,-0.3347,0.0145,1,0.431,0.210,0.087,,0.0002,0.3353,0.0144,1,0.657,0.339,0.016,,-0.2903,-0.1847,0.0145,1,0.163,0.048,0.227,,-0.2903,0.1853,0.0145,1,0.539,0.067,0.336,
0.094,16,1,0.0002,0.0003,0.2045,-0.0001,0.0001,-0.0001,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.000,0.000,0.0000,0.0000,0.2907,-0.1848,0.0144,1,0.462,0.417,0.093,,0.2907,0.1852,0.0144,1,0.092,0.029,0.342,,0.0002,-0.3347,0.0145,1,0.431,0.210,0.087,,0.0002,0.3353,0.0144,1,0.657,0.339,0.016,,-0.2903,-0.1847,0.0145,1,0.163,0.048,0.227,,-0.2903,0.1853,0.0145,1,0.540,0.067,0.335,
0.147,20,1,0.0002,0.0003,0.2045,-0.0001,0.0001,-0.0001,-0.0000,-0.0000,-0.0000,0.0001,0.0000,0.0001,0.000,0.000,0.0000,0.0000,0.2907,-0.1848,0.0144,1,0.462,0.416,0.093,,0.2907,0.1852,0.0144,1,0.094,0.029,0.342,,0.0002,-0.3347,0.0145,1,0.431,0.210,0.087,,0.0002,0.3353,0.0144,1,0.657,0.339,0.016,,-0.2903,-0.1847,0.0145,1,0.163,0.048,0.227,,-0.2903,0.1853,0.0145,1,0.540,0.067,0.335,
0.168,24,1,0.0002,0.0003,0.2045,-0.0001,0.0001,-0.0001,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.000,0.000,0.0000,0.0000,0.2907,-0.1848,0.0144,1,0.462,0.417,0.094,,0.2907,0.1852,0.0144,1,0.084,0.028,0.341,,0.0002,-0.3347,0.0145,1,0.432,0.211,0.086,,0.0002,0.3353,0.0144,1,0.657,0.339,0.016,,-0.2903,-0.1847,0.0145,1,0.162,0.048,0.226,,-0.2903,0.1853,0.0145,1,0.538,0.068,0.336,
0.217,28,1,0.0002,0.0003,0.2045,-0.0001,0.0001,-0.0001,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.000,0.000,0.0000,0.0000,0.2907,-0.1848,0.0144,1,0.462,0.417,0.094,,0.2907,0.1852,0.0144,1,0.086,0.028,0.341,,0.0002,-0.3347,0.0145,1,0.432,0.211,0.086,,0.0002,0.3353,0.0144,1,0.657,0.339,0.016,,-0.2903,-0.1847,0.0145,1,0.162,0.048,0.226,,-0.2903,0.1853,0.0145,1,0.538,0.067,0.336,
0.239,32,1,0.0002,0.0003,0.2045,-0.0001,0.0001,-0.0001,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.000,0.000,0.0000,0.0000,0.2907,-0.1848,0.0144,1,0.462,0.417,0.094,,0.2907,0.1852,0.0144,1,0.088,0.028,0.342,,0.0002,-0.3347,0.0145,1,0.432,0.210,0.087,,0.0002,0.3353,0.0144,1,0.657,0.339,0.016,,-0.2903,-0.1847,0.0145,1,0.162,0.048,0.227,,-0.2903,0.1853,0.0145,1,0.539,0.067,0.336,
0.288,36,7,0.0001,0.0004,0.2041,0.0003,0.0004,-0.0011,-0.0130,0.0219,-0.1044,0.0874,0.0552,-0.2629,0.000,0.000,0.0000,0.0000,0.2918,-0.1834,0.0156,0,0.015,0.030,0.027,STANCE,0.2912,0.1850,0.0157,0,0.125,0.006,0.004,STANCE,-0.0019,-0.3350,0.0157,0,0.025,0.008,0.007,STANCE,0.0022,0.3357,0.0157,0,0.026,0.014,0.008,STANCE,-0.2899,-0.1862,0.0157,0,0.007,0.007,0.006,STANCE,-0.2915,0.1841,0.0158,0,0.008,0.010,0.007,STANCE
0.307,40,7,-0.0002,0.0004,0.2008,0.0011,0.0027,-0.0028,-0.0286,-0.0050,-0.2686,0.0180,0.1679,0.0646,0.000,0.000,0.0000,0.0000,0.3130,-0.1786,0.0230,0,0.497,0.106,0.095,STANCE,0.2932,0.1850,0.0237,0,0.109,0.107,0.101,STANCE,-0.0136,-0.3366,0.0239,0,0.234,0.085,0.107,STANCE,0.0170,0.3375,0.0245,0,0.021,0.100,0.105,STANCE,-0.2892,-0.1926,0.0247,0,0.015,0.085,0.107,STANCE,-0.2990,0.1776,0.0251,0,0.054,0.160,0.047,STANCE
