t,frame,mode,bx,by,bz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cmd_vx,cmd_yaw,roll_bal,pitch_bal,front_right_fx,front_right_fy,front_right_fz,front_right_contact,front_right_force,front_right_tau_coxa,front_right_tau_femur,front_right_tau_tibia,front_right_state,front_left_fx,front_left_fy,front_left_fz,front_left_contact,front_left_force,front_left_tau_coxa,front_left_tau_femur,front_left_tau_tibia,front_left_state,mid_right_fx,mid_right_fy,mid_right_fz,mid_right_contact,mid_right_force,mid_right_tau_coxa,mid_right_tau_femur,mid_right_tau_tibia,mid_right_state,mid_left_fx,mid_left_fy,mid_left_fz,mid_left_contact,mid_left_force,mid_left_tau_coxa,mid_left_tau_femur,mid_left_tau_tibia,mid_left_state,rear_right_fx,rear_right_fy,rear_right_fz,rear_right_contact,rear_right_force,rear_right_tau_coxa,rear_right_tau_femur,rear_right_tau_tibia,rear_right_state,rear_left_fx,rear_left_fy,rear_left_fz,rear_left_contact,rear_left_force,rear_left_tau_coxa,rear_left_tau_femur,rear_left_tau_tibia,rear_left_state
0.000,4,tripod,0.0878,0.0032,0.1258,-0.0017,0.0074,-0.0000,0.0005,-0.0003,-0.0350,0.0013,0.0053,0.0000,0.000,0.000,0.0000,0.0000,0.2982,-0.1841,0.0147,1,4.86,0.166,0.589,0.190,STANCE,0.4451,0.1929,0.0152,0,0.00,0.005,0.066,0.004,STANCE,0.1474,-0.3409,0.0149,1,2.93,0.147,0.188,0.356,STANCE,-0.0048,0.3468,0.0149,1,5.89,0.357,0.983,0.003,STANCE,-0.2984,-0.1893,0.0150,1,2.14,0.195,0.304,0.056,STANCE,-0.1515,0.1922,0.0151,0,0.00,0.006,0.078,0.004,STANCE
0.096,8,tripod,0.0879,0.0030,0.1257,-0.0002,0.0079,-0.0000,-0.0004,-0.0025,-0.0085,0.0211,-0.0031,0.0002,0.000,0.000,0.0000,0.0000,0.2982,-0.1841,0.0148,1,1.30,0.029,0.233,0.067,STANCE,0.4451,0.1929,0.0148,1,2.80,0.053,0.447,0.026,STANCE,0.1474,-0.3409,0.0148,1,3.63,0.052,0.403,0.229,STANCE,-0.0048,0.3468,0.0157,0,0.00,0.001,0.075,0.000,STANCE,-0.2984,-0.1893,0.0151,0,0.00,0.006,0.092,0.009,STANCE,-0.1515,0.1922,0.0147,1,5.85,0.089,0.707,0.238,STANCE
0.201,12,tripod,0.0885,0.0029,0.1257,0.0003,0.0092,0.0002,0.1243,-0.0134,-0.0172,0.0274,0.0176,-0.0644,1.000,0.000,0.0000,0.0000,0.2977,-0.1841,0.0149,1,1.38,0.384,0.316,0.227,STANCE,0.4449,0.1930,0.0162,0,0.00,0.379,0.217,0.043,STANCE,0.1468,-0.3409,0.0164,0,0.00,0.144,0.036,0.013,STANCE,-0.0048,0.3467,0.0149,1,2.19,1.916,0.023,0.399,STANCE,-0.2984,-0.1893,0.0147,0,0.00,0.197,0.146,0.139,STANCE,-0.1512,0.1920,0.0168,0,0.00,0.249,0.064,0.013,SWING
0.247,16,tripod,0.0935,0.0023,0.1258,-0.0027,0.0116,-0.0004,0.3229,-0.0344,-0.0486,-0.2064,-0.0121,-0.0999,1.000,0.000,0.0000,0.0000,0.2939,-0.1850,0.0158,0,0.00,0.398,0.085,0.039,STANCE,0.4439,0.1929,0.0218,0,0.00,0.256,0.109,0.143,STANCE,0.1428,-0.3418,0.0253,0,0.00,0.384,0.079,0.021,STANCE,-0.0086,0.3460,0.0151,0,0.00,0.525,0.100,0.026,STANCE,-0.3001,-0.1891,0.0155,0,0.00,0.091,0.108,0.143,STANCE,-0.1447,0.1901,0.0285,0,0.00,0.016,0.094,0.098,SWING
0.305,20,tripod,0.1000,0.0016,0.1245,-0.0050,0.0173,-0.0007,0.4565,-0.0463,-0.0793,-0.3089,0.0214,0.2304,1.000,0.000,0.0000,0.0000,0.2902,-0.1862,0.0147,1,10.15,2.940,2.940,1.318,STANCE,0.4407,0.1919,0.0188,0,0.00,0.148,0.021,0.105,STANCE,0.1386,-0.3428,0.0254,0,0.00,0.587,0.269,0.023,STANCE,-0.0125,0.3452,0.0155,0,0.00,0.464,0.322,0.059,STANCE,-0.3006,-0.1883,0.0149,1,6.74,2.940,2.663,1.650,STANCE,-0.1403,0.1907,0.0307,0,0.00,0.003,0.066,0.018,SWING
0.353,24,tripod,0.1077,0.0010,0.1214,-0.0102,0.0162,0.0020,0.4528,-0.0378,-0.2639,-0.3502,-0.2344,0.1309,1.000,0.000,0.0000,0.0000,0.2887,-0.1870,0.0180,0,0.00,0.472,0.086,0.046,STANCE,0.4383,0.1918,0.0153,0,0.00,0.302,0.057,0.124,STANCE,0.1377,-0.3439,0.0247,0,0.00,0.380,0.026,0.001,STANCE,-0.0153,0.3437,0.0162,0,0.00,0.476,0.222,0.061,STANCE,-0.3002,-0.1900,0.0170,0,0.00,0.047,0.041,0.093,STANCE,-0.1336,0.1891,0.0222,0,0.00,0.032,0.089,0.022,SWING
0.397,28,tripod,0.1154,0.0001,0.1167,0.0040,0.0118,0.0025,0.4948,-0.1190,-0.2105,2.1128,0.9157,-0.1286,1.000,0.000,0.0000,0.0000,0.2962,-0.1862,0.0185,0,0.00,0.061,0.287,0.051,SWING,0.4370,0.1921,0.0148,1,6.92,2.940,2.940,2.561,STANCE,0.1369,-0.3436,0.0171,0,0.00,0.525,0.093,0.003,STANCE,-0.0081,0.3438,0.0189,0,0.00,0.033,0.024,0.044,SWING,-0.2993,-0.1926,0.0192,0,0.00,0.136,0.212,0.035,SWING,-0.1312,0.1884,0.0148,1,23.08,2.940,1.283,2.940,STANCE
0.442,32,tripod,0.1255,-0.0011,0.1178,0.0166,0.0233,0.0019,0.6302,0.0093,0.2312,0.1892,0.6299,0.0816,1.000,0.000,0.0000,0.0000,0.3041,-0.1856,0.0242,0,0.00,0.001,0.042,0.065,SWING,0.4357,0.1923,0.0147,1,6.39,0.190,2.940,2.704,STANCE,0.1362,-0.3434,0.0126,1,4.08,2.180,1.099,0.644,STANCE,0.0015,0.3434,0.0373,0,0.00,0.255,0.419,0.069,SWING,-0.2914,-0.1924,0.0336,0,0.00,0.128,0.456,0.084,SWING,-0.1306,0.1879,0.0144,1,8.82,2.890,2.940,1.850,STANCE
0.506,36,tripod,0.1363,-0.0006,0.1207,0.0231,0.0346,0.0028,0.6440,0.0278,0.1287,0.3689,0.6790,-0.0677,1.000,0.000,0.0000,0.0000,0.3139,-0.1840,0.0343,0,0.00,0.108,0.143,0.002,SWING,0.4341,0.1933,0.0148,1,2.05,0.534,0.975,1.010,STANCE,0.1362,-0.3424,0.0128,1,2.32,1.552,0.628,0.428,STANCE,0.0111,0.3443,0.0550,0,0.00,0.062,0.261,0.066,SWING,-0.2813,-0.1923,0.0516,0,0.00,0.130,0.270,0.096,SWING,-0.1295,0.1876,0.0148,0,0.00,0.403,0.175,0.133,STANCE
0.557,40,tripod,0.1471,-0.0005,0.1223,0.0284,0.0446,0.0024,0.6402,0.0089,0.0763,0.2876,0.5560,-0.1142,1.000,0.000,0.0000,0.0000,0.3253,-0.1849,0.0363,0,0.00,0.278,0.100,0.046,SWING,0.4329,0.1934,0.0149,1,3.25,1.387,1.284,1.192,STANCE,0.1364,-0.3416,0.0130,1,4.43,2.578,0.942,0.449,STANCE,0.0219,0.3450,0.0614,0,0.00,0.080,0.107,0.032,SWING,-0.2709,-0.1916,0.0581,0,0.00,0.224,0.091,0.058,SWING,-0.1285,0.1879,0.0149,0,0.00,0.402,0.081,0.126,STANCE
0.587,44,tripod,0.1576,-0.0007,0.1235,0.0333,0.0537,0.0031,0.6355,-0.0445,0.0540,0.1873,0.4433,0.1117,1.000,0.000,0.0000,0.0000,0.3463,-0.1862,0.0315,0,0.00,0.012,0.248,0.077,SWING,0.4323,0.1937,0.0149,1,4.01,1.588,0.326,0.500,STANCE,0.1366,-0.3412,0.0131,0,0.00,0.483,0.082,0.017,STANCE,0.0456,0.3447,0.0605,0,0.00,0.110,0.104,0.087,SWING,-0.2550,-0.1957,0.0659,0,0.00,0.530,0.162,0.084,SWING,-0.1279,0.1878,0.0149,1,11.11,0.989,0.026,2.160,STANCE
