t,frame,mode,bx,by,bz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cmd_vx,cmd_yaw,roll_bal,pitch_bal,front_right_fx,front_right_fy,front_right_fz,front_right_contact,front_right_force,front_right_tau_coxa,front_right_tau_femur,front_right_tau_tibia,front_right_state,front_left_fx,front_left_fy,front_left_fz,front_left_contact,front_left_force,front_left_tau_coxa,front_left_tau_femur,front_left_tau_tibia,front_left_state,mid_right_fx,mid_right_fy,mid_right_fz,mid_right_contact,mid_right_force,mid_right_tau_coxa,mid_right_tau_femur,mid_right_tau_tibia,mid_right_state,mid_left_fx,mid_left_fy,mid_left_fz,mid_left_contact,mid_left_force,mid_left_tau_coxa,mid_left_tau_femur,mid_left_tau_tibia,mid_left_state,rear_right_fx,rear_right_fy,rear_right_fz,rear_right_contact,rear_right_force,rear_right_tau_coxa,rear_right_tau_femur,rear_right_tau_tibia,rear_right_state,rear_left_fx,rear_left_fy,rear_left_fz,rear_left_contact,rear_left_force,rear_left_tau_coxa,rear_left_tau_femur,rear_left_tau_tibia,rear_left_state
0.000,4,tripod,-0.0042,0.0008,0.2956,-0.0002,0.0002,0.0152,0.0001,-0.0002,-0.0007,-0.0001,0.0002,-0.0001,0.000,0.000,0.0000,0.0000,0.3143,-0.1524,0.1598,0,0.00,0.073,0.117,0.014,STANCE,0.2822,0.1894,0.0141,1,4.08,0.244,0.299,0.117,SWING,0.0008,-0.3329,0.0143,1,5.05,0.639,1.668,0.798,SWING,-0.0446,0.3424,0.1598,0,0.00,0.070,0.117,0.014,STANCE,-0.2783,-0.2224,0.1599,0,0.00,0.072,0.117,0.014,STANCE,-0.2964,0.1807,0.0143,1,4.45,0.713,1.662,0.818,SWING
0.021,8,tripod,-0.0042,0.0008,0.2956,-0.0002,0.0002,0.0152,0.0001,-0.0001,-0.0007,-0.0001,0.0002,-0.0001,0.000,0.000,0.0000,0.0000,0.3148,-0.1512,0.1574,0,0.00,0.073,0.117,0.014,STANCE,0.2822,0.1894,0.0141,1,4.08,0.244,0.299,0.117,SWING,0.0008,-0.3329,0.0143,1,5.05,0.639,1.668,0.799,SWING,-0.0458,0.3423,0.1574,0,0.00,0.070,0.117,0.014,STANCE,-0.2775,-0.2234,0.1575,0,0.00,0.072,0.117,0.014,STANCE,-0.2964,0.1807,0.0143,1,4.45,0.713,1.662,0.818,SWING
0.042,12,tripod,-0.0042,0.0008,0.2956,-0.0002,0.0002,0.0152,0.0001,-0.0001,-0.0007,-0.0001,0.0001,-0.0001,0.000,0.000,0.0000,0.0000,0.3154,-0.1501,0.1550,0,0.00,0.073,0.117,0.014,STANCE,0.2822,0.1894,0.0141,1,4.08,0.244,0.299,0.117,SWING,0.0008,-0.3329,0.0143,1,5.05,0.639,1.668,0.799,SWING,-0.0471,0.3421,0.1550,0,0.00,0.070,0.117,0.014,STANCE,-0.2766,-0.2244,0.1551,0,0.00,0.072,0.117,0.014,STANCE,-0.2964,0.1807,0.0143,1,4.45,0.712,1.662,0.818,SWING
0.063,16,tripod,-0.0042,0.0008,0.2956,-0.0002,0.0002,0.0152,0.0000,-0.0001,-0.0007,-0.0001,0.0001,-0.0001,0.000,0.000,0.0000,0.0000,0.3159,-0.1489,0.1526,0,0.00,0.073,0.117,0.015,STANCE,0.2822,0.1894,0.0141,1,4.08,0.245,0.299,0.117,SWING,0.0008,-0.3329,0.0143,1,5.05,0.639,1.667,0.799,SWING,-0.0483,0.3420,0.1526,0,0.00,0.070,0.116,0.014,STANCE,-0.2758,-0.2254,0.1527,0,0.00,0.072,0.117,0.014,STANCE,-0.2964,0.1807,0.0143,1,4.45,0.712,1.662,0.818,SWING
0.085,20,tripod,-0.0042,0.0008,0.2956,-0.0002,0.0002,0.0152,0.0000,-0.0001,-0.0006,-0.0001,0.0001,-0.0001,0.000,0.000,0.0000,0.0000,0.3165,-0.1477,0.1502,0,0.00,0.073,0.116,0.015,STANCE,0.2822,0.1894,0.0141,1,4.08,0.245,0.299,0.116,SWING,0.0008,-0.3329,0.0143,1,5.05,0.640,1.667,0.799,SWING,-0.0496,0.3418,0.1502,0,0.00,0.070,0.116,0.015,STANCE,-0.2750,-0.2264,0.1503,0,0.00,0.072,0.117,0.015,STANCE,-0.2964,0.1807,0.0143,1,4.45,0.712,1.662,0.818,SWING
0.106,24,tripod,-0.0042,0.0008,0.2956,-0.0002,0.0002,0.0152,0.0000,-0.0001,-0.0006,-0.0001,0.0001,-0.0001,0.000,0.000,0.0000,0.0000,0.3170,-0.1466,0.1478,0,0.00,0.073,0.116,0.015,STANCE,0.2822,0.1894,0.0141,1,4.09,0.245,0.299,0.116,SWING,0.0008,-0.3329,0.0143,1,5.05,0.640,1.667,0.799,SWING,-0.0508,0.3416,0.1478,0,0.00,0.070,0.116,0.015,STANCE,-0.2742,-0.2274,0.1479,0,0.00,0.072,0.117,0.015,STANCE,-0.2964,0.1807,0.0143,1,4.44,0.712,1.662,0.818,SWING
0.126,28,tripod,-0.0042,0.0008,0.2956,-0.0002,0.0002,0.0152,0.0000,-0.0001,-0.0006,-0.0001,0.0001,-0.0001,0.000,0.000,0.0000,0.0000,0.3175,-0.1454,0.1454,0,0.00,0.073,0.116,0.015,STANCE,0.2822,0.1894,0.0141,1,4.09,0.245,0.298,0.116,SWING,0.0008,-0.3329,0.0143,1,5.05,0.640,1.667,0.800,SWING,-0.0521,0.3414,0.1454,0,0.00,0.070,0.116,0.015,STANCE,-0.2733,-0.2283,0.1455,0,0.00,0.072,0.117,0.015,STANCE,-0.2964,0.1807,0.0143,1,4.44,0.712,1.662,0.818,SWING
0.147,32,tripod,-0.0042,0.0008,0.2956,-0.0002,0.0002,0.0152,0.0000,-0.0001,-0.0006,-0.0001,0.0001,-0.0001,0.000,0.000,0.0000,0.0000,0.3181,-0.1442,0.1430,0,0.00,0.073,0.116,0.016,STANCE,0.2822,0.1894,0.0141,1,4.09,0.245,0.298,0.116,SWING,0.0008,-0.3329,0.0143,1,5.05,0.640,1.667,0.800,SWING,-0.0533,0.3413,0.1430,0,0.00,0.070,0.116,0.015,STANCE,-0.2725,-0.2293,0.1431,0,0.00,0.072,0.117,0.015,STANCE,-0.2964,0.1807,0.0143,1,4.44,0.712,1.662,0.818,SWING
0.168,36,tripod,-0.0042,0.0008,0.2956,-0.0002,0.0002,0.0152,0.0000,-0.0001,-0.0006,-0.0002,0.0001,-0.0001,0.000,0.000,0.0000,0.0000,0.3186,-0.1431,0.1406,0,0.00,0.073,0.116,0.016,STANCE,0.2822,0.1894,0.0141,1,4.09,0.245,0.298,0.116,SWING,0.0008,-0.3329,0.0143,1,5.05,0.641,1.667,0.800,SWING,-0.0545,0.3411,0.1406,0,0.00,0.070,0.116,0.015,STANCE,-0.2717,-0.2303,0.1407,0,0.00,0.072,0.116,0.015,STANCE,-0.2964,0.1807,0.0143,1,4.44,0.712,1.662,0.818,SWING
0.189,40,tripod,-0.0042,0.0008,0.2956,-0.0001,0.0002,0.0152,0.0000,-0.0001,-0.0006,-0.0002,0.0001,-0.0001,0.000,0.000,0.0000,0.0000,0.3191,-0.1419,0.1382,0,0.00,0.073,0.116,0.016,STANCE,0.2822,0.1894,0.0141,1,4.09,0.245,0.298,0.116,SWING,0.0008,-0.3329,0.0143,1,5.05,0.641,1.667,0.800,SWING,-0.0558,0.3409,0.1382,0,0.00,0.070,0.116,0.016,STANCE,-0.2708,-0.2313,0.1383,0,0.00,0.072,0.116,0.016,STANCE,-0.2964,0.1807,0.0143,1,4.44,0.711,1.662,0.818,SWING
