t,frame,mode,bx,by,bz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cmd_vx,cmd_yaw,roll_bal,pitch_bal,front_right_fx,front_right_fy,front_right_fz,front_right_contact,front_right_force,front_right_tau_coxa,front_right_tau_femur,front_right_tau_tibia,front_right_state,front_left_fx,front_left_fy,front_left_fz,front_left_contact,front_left_force,front_left_tau_coxa,front_left_tau_femur,front_left_tau_tibia,front_left_state,mid_right_fx,mid_right_fy,mid_right_fz,mid_right_contact,mid_right_force,mid_right_tau_coxa,mid_right_tau_femur,mid_right_tau_tibia,mid_right_state,mid_left_fx,mid_left_fy,mid_left_fz,mid_left_contact,mid_left_force,mid_left_tau_coxa,mid_left_tau_femur,mid_left_tau_tibia,mid_left_state,rear_right_fx,rear_right_fy,rear_right_fz,rear_right_contact,rear_right_force,rear_right_tau_coxa,rear_right_tau_femur,rear_right_tau_tibia,rear_right_state,rear_left_fx,rear_left_fy,rear_left_fz,rear_left_contact,rear_left_force,rear_left_tau_coxa,rear_left_tau_femur,rear_left_tau_tibia,rear_left_state
0.000,4,1,0.0004,0.0005,0.2044,0.0001,-0.0001,-0.0001,0.0000,-0.0000,-0.0000,-0.0001,-0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.2909,-0.1845,0.0144,1,2.03,0.099,0.418,0.092,,0.2909,0.1855,0.0145,1,1.99,0.078,0.287,0.007,,0.0004,-0.3345,0.0144,1,2.24,0.098,0.248,0.094,,0.0004,0.3355,0.0144,1,2.05,0.057,0.373,0.052,,-0.2902,-0.1845,0.0144,1,2.22,0.043,0.392,0.046,,-0.2901,0.1856,0.0144,1,2.13,0.059,0.368,0.038,
0.022,8,1,0.0004,0.0005,0.2044,0.0001,-0.0001,-0.0001,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.2909,-0.1845,0.0144,1,2.03,0.098,0.417,0.091,,0.2909,0.1855,0.0145,1,1.98,0.078,0.287,0.007,,0.0004,-0.3345,0.0144,1,2.24,0.098,0.248,0.094,,0.0004,0.3355,0.0144,1,2.05,0.056,0.373,0.052,,-0.2902,-0.1845,0.0144,1,2.22,0.042,0.392,0.047,,-0.2901,0.1856,0.0144,1,2.13,0.059,0.368,0.038,
0.080,12,1,0.0004,0.0005,0.2044,0.0001,-0.0001,-0.0001,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.2909,-0.1845,0.0144,1,2.03,0.099,0.418,0.092,,0.2909,0.1855,0.0145,1,1.99,0.078,0.287,0.007,,0.0004,-0.3345,0.0144,1,2.24,0.099,0.247,0.094,,0.0004,0.3355,0.0144,1,2.05,0.058,0.373,0.052,,-0.2902,-0.1845,0.0144,1,2.22,0.043,0.392,0.046,,-0.2901,0.1856,0.0144,1,2.13,0.059,0.368,0.038,
0.101,16,1,0.0004,0.0005,0.2044,0.0001,-0.0001,-0.0001,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.2909,-0.1845,0.0144,1,2.03,0.098,0.417,0.091,,0.2909,0.1855,0.0145,1,1.99,0.078,0.287,0.007,,0.0004,-0.3345,0.0144,1,2.24,0.098,0.248,0.094,,0.0004,0.3355,0.0144,1,2.05,0.057,0.373,0.052,,-0.2902,-0.1845,0.0144,1,2.22,0.042,0.392,0.047,,-0.2901,0.1856,0.0144,1,2.13,0.059,0.368,0.038,
0.155,20,1,0.0004,0.0005,0.2044,0.0001,-0.0001,-0.0001,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.000,0.000,0.0000,0.0000,0.2909,-0.1845,0.0144,1,2.03,0.098,0.417,0.091,,0.2909,0.1855,0.0145,1,1.98,0.078,0.287,0.007,,0.0004,-0.3345,0.0144,1,2.24,0.098,0.248,0.094,,0.0004,0.3355,0.0144,1,2.05,0.056,0.373,0.052,,-0.2902,-0.1845,0.0144,1,2.22,0.040,0.392,0.047,,-0.2901,0.1856,0.0144,1,2.13,0.059,0.368,0.039,
0.177,24,1,0.0004,0.0005,0.2044,0.0001,-0.0001,-0.0001,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.2909,-0.1845,0.0144,1,2.03,0.098,0.417,0.091,,0.2909,0.1855,0.0145,1,1.99,0.078,0.287,0.007,,0.0004,-0.3345,0.0144,1,2.24,0.098,0.248,0.094,,0.0004,0.3355,0.0144,1,2.05,0.057,0.373,0.052,,-0.2902,-0.1845,0.0144,1,2.22,0.042,0.392,0.047,,-0.2901,0.1856,0.0144,1,2.13,0.059,0.368,0.038,
0.235,28,1,0.0004,0.0005,0.2044,0.0001,-0.0001,-0.0001,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.000,0.000,0.0000,0.0000,0.2909,-0.1845,0.0144,1,2.03,0.098,0.418,0.092,,0.2909,0.1855,0.0145,1,1.99,0.078,0.287,0.007,,0.0004,-0.3345,0.0144,1,2.24,0.099,0.248,0.094,,0.0004,0.3355,0.0144,1,2.05,0.057,0.373,0.052,,-0.2902,-0.1845,0.0144,1,2.22,0.043,0.392,0.046,,-0.2901,0.1856,0.0144,1,2.13,0.059,0.368,0.038,
0.257,32,1,0.0004,0.0005,0.2044,0.0001,-0.0001,-0.0001,-0.0000,0.0000,0.0000,-0.0000,0.0001,-0.0000,0.000,0.000,0.0000,0.0000,0.2909,-0.1845,0.0144,1,2.03,0.099,0.417,0.092,,0.2909,0.1855,0.0145,1,1.98,0.078,0.286,0.008,,0.0004,-0.3345,0.0144,1,2.24,0.097,0.248,0.094,,0.0004,0.3355,0.0144,1,2.05,0.056,0.373,0.051,,-0.2902,-0.1845,0.0144,1,2.22,0.042,0.392,0.047,,-0.2901,0.1856,0.0144,1,2.13,0.057,0.368,0.039,
0.311,36,1,0.0004,0.0005,0.2044,0.0001,-0.0001,-0.0001,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.000,0.000,0.0000,0.0000,0.2909,-0.1845,0.0144,1,2.03,0.098,0.417,0.091,,0.2909,0.1855,0.0145,1,1.99,0.078,0.287,0.007,,0.0004,-0.3345,0.0144,1,2.24,0.099,0.248,0.094,,0.0004,0.3355,0.0144,1,2.05,0.057,0.373,0.052,,-0.2902,-0.1845,0.0144,1,2.22,0.042,0.392,0.047,,-0.2901,0.1856,0.0144,1,2.13,0.059,0.368,0.038,
0.333,40,1,0.0004,0.0005,0.2044,0.0001,-0.0001,-0.0001,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,0.000,0.000,0.0000,0.0000,0.2909,-0.1845,0.0144,1,2.03,0.098,0.417,0.091,,0.2909,0.1855,0.0145,1,1.98,0.078,0.287,0.007,,0.0004,-0.3345,0.0144,1,2.24,0.098,0.248,0.094,,0.0004,0.3355,0.0144,1,2.05,0.056,0.373,0.052,,-0.2902,-0.1845,0.0144,1,2.22,0.040,0.392,0.047,,-0.2901,0.1856,0.0144,1,2.13,0.059,0.368,0.039,
