t,frame,mode,bx,by,bz,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,cmd_vx,cmd_yaw,roll_bal,pitch_bal,front_right_fx,front_right_fy,front_right_fz,front_right_contact,front_right_tau_coxa,front_right_tau_femur,front_right_tau_tibia,front_right_state,front_left_fx,front_left_fy,front_left_fz,front_left_contact,front_left_tau_coxa,front_left_tau_femur,front_left_tau_tibia,front_left_state,mid_right_fx,mid_right_fy,mid_right_fz,mid_right_contact,mid_right_tau_coxa,mid_right_tau_femur,mid_right_tau_tibia,mid_right_state,mid_left_fx,mid_left_fy,mid_left_fz,mid_left_contact,mid_left_tau_coxa,mid_left_tau_femur,mid_left_tau_tibia,mid_left_state,rear_right_fx,rear_right_fy,rear_right_fz,rear_right_contact,rear_right_tau_coxa,rear_right_tau_femur,rear_right_tau_tibia,rear_right_state,rear_left_fx,rear_left_fy,rear_left_fz,rear_left_contact,rear_left_tau_coxa,rear_left_tau_femur,rear_left_tau_tibia,rear_left_state
0.000,4,7,-0.3830,0.0346,0.1191,0.0001,0.0001,-0.0624,-0.0000,0.0000,0.0000,0.0002,0.0001,-0.0002,0.000,0.000,0.0000,0.0000,-0.0971,-0.1731,0.0144,1,0.465,0.786,0.641,STANCE,-0.0733,0.2052,0.0144,1,0.676,1.049,0.932,STANCE,-0.4045,-0.3088,0.0144,1,0.211,0.921,0.777,STANCE,-0.3616,0.3780,0.0144,1,0.284,0.667,0.524,STANCE,-0.6926,-0.1359,0.0144,1,0.710,0.806,0.681,STANCE,-0.6693,0.2426,0.0145,1,0.480,1.088,0.988,STANCE
0.060,8,7,-0.3830,0.0346,0.1191,0.0001,0.0001,-0.0624,-0.0000,0.0000,0.0000,0.0001,0.0001,-0.0004,0.000,0.000,0.0000,0.0000,-0.0971,-0.1731,0.0144,1,0.473,0.785,0.641,STANCE,-0.0733,0.2052,0.0144,1,0.677,1.048,0.931,STANCE,-0.4045,-0.3088,0.0144,1,0.209,0.921,0.777,STANCE,-0.3616,0.3780,0.0144,1,0.283,0.667,0.524,STANCE,-0.6926,-0.1359,0.0144,1,0.707,0.808,0.683,STANCE,-0.6693,0.2426,0.0145,1,0.480,1.088,0.988,STANCE
0.083,12,7,-0.3830,0.0346,0.1191,0.0001,0.0001,-0.0624,-0.0000,0.0000,0.0000,0.0001,0.0001,-0.0003,0.000,0.000,0.0000,0.0000,-0.0971,-0.1731,0.0144,1,0.473,0.785,0.639,STANCE,-0.0733,0.2052,0.0144,1,0.677,1.049,0.932,STANCE,-0.4045,-0.3088,0.0144,1,0.212,0.921,0.777,STANCE,-0.3616,0.3780,0.0144,1,0.283,0.666,0.524,STANCE,-0.6926,-0.1359,0.0144,1,0.711,0.807,0.681,STANCE,-0.6693,0.2426,0.0145,1,0.479,1.087,0.987,STANCE
0.138,16,7,-0.3830,0.0346,0.1191,0.0001,0.0001,-0.0624,-0.0000,0.0000,0.0000,0.0002,0.0000,-0.0002,0.000,0.000,0.0000,0.0000,-0.0971,-0.1731,0.0144,1,0.466,0.786,0.642,STANCE,-0.0733,0.2052,0.0144,1,0.677,1.049,0.932,STANCE,-0.4045,-0.3088,0.0144,1,0.210,0.921,0.777,STANCE,-0.3616,0.3780,0.0144,1,0.285,0.667,0.524,STANCE,-0.6926,-0.1359,0.0144,1,0.707,0.807,0.683,STANCE,-0.6693,0.2426,0.0145,1,0.480,1.089,0.989,STANCE
0.161,20,7,-0.3830,0.0346,0.1191,0.0001,0.0001,-0.0624,0.0000,-0.0001,-0.0000,-0.0001,-0.0001,0.0003,0.000,0.000,0.0000,0.0000,-0.0971,-0.1731,0.0144,1,0.469,0.787,0.644,STANCE,-0.0733,0.2052,0.0144,1,0.676,1.049,0.932,STANCE,-0.4045,-0.3088,0.0144,1,0.211,0.921,0.779,STANCE,-0.3616,0.3780,0.0144,1,0.288,0.667,0.522,STANCE,-0.6926,-0.1359,0.0144,1,0.722,0.805,0.679,STANCE,-0.6693,0.2426,0.0145,1,0.480,1.089,0.988,STANCE
0.225,24,7,-0.3830,0.0346,0.1191,0.0001,0.0001,-0.0624,-0.0000,0.0000,0.0000,0.0001,0.0001,-0.0002,0.000,0.000,0.0000,0.0000,-0.0971,-0.1731,0.0144,1,0.472,0.786,0.640,STANCE,-0.0733,0.2052,0.0144,1,0.677,1.049,0.932,STANCE,-0.4045,-0.3088,0.0144,1,0.212,0.921,0.777,STANCE,-0.3616,0.3780,0.0144,1,0.283,0.666,0.524,STANCE,-0.6926,-0.1359,0.0144,1,0.712,0.807,0.681,STANCE,-0.6693,0.2426,0.0145,1,0.479,1.087,0.987,STANCE
0.248,28,7,-0.3830,0.0346,0.1191,0.0001,0.0001,-0.0624,-0.0000,0.0000,0.0000,0.0002,0.0000,-0.0002,0.000,0.000,0.0000,0.0000,-0.0971,-0.1731,0.0144,1,0.468,0.786,0.641,STANCE,-0.0733,0.2052,0.0144,1,0.677,1.048,0.931,STANCE,-0.4045,-0.3088,0.0144,1,0.209,0.921,0.777,STANCE,-0.3616,0.3780,0.0144,1,0.285,0.668,0.524,STANCE,-0.6926,-0.1359,0.0144,1,0.706,0.807,0.682,STANCE,-0.6693,0.2426,0.0145,1,0.480,1.089,0.989,STANCE
0.302,32,7,-0.3830,0.0346,0.1191,0.0001,0.0001,-0.0624,0.0000,-0.0001,-0.0000,-0.0001,-0.0001,0.0002,0.000,0.000,0.0000,0.0000,-0.0971,-0.1731,0.0144,1,0.478,0.786,0.643,STANCE,-0.0733,0.2052,0.0144,1,0.676,1.049,0.932,STANCE,-0.4045,-0.3088,0.0144,1,0.210,0.922,0.779,STANCE,-0.3616,0.3780,0.0144,1,0.287,0.666,0.522,STANCE,-0.6926,-0.1359,0.0144,1,0.724,0.805,0.679,STANCE,-0.6693,0.2426,0.0145,1,0.480,1.088,0.988,STANCE
0.324,36,7,-0.3830,0.0346,0.1191,0.0001,0.0001,-0.0624,0.0000,-0.0000,-0.0000,-0.0000,-0.0001,0.0002,0.000,0.000,0.0000,0.0000,-0.0971,-0.1731,0.0144,1,0.467,0.787,0.644,STANCE,-0.0733,0.2052,0.0144,1,0.676,1.049,0.932,STANCE,-0.4045,-0.3088,0.0144,1,0.210,0.921,0.778,STANCE,-0.3616,0.3780,0.0144,1,0.290,0.667,0.523,STANCE,-0.6926,-0.1359,0.0144,1,0.720,0.805,0.679,STANCE,-0.6693,0.2426,0.0145,1,0.480,1.089,0.988,STANCE
0.375,40,7,-0.3830,0.0346,0.1191,0.0001,0.0001,-0.0624,0.0000,-0.0001,-0.0000,-0.0000,-0.0001,0.0003,0.000,0.000,0.0000,0.0000,-0.0971,-0.1731,0.0144,1,0.467,0.787,0.644,STANCE,-0.0733,0.2052,0.0144,1,0.676,1.049,0.933,STANCE,-0.4045,-0.3088,0.0144,1,0.210,0.921,0.778,STANCE,-0.3616,0.3780,0.0144,1,0.289,0.667,0.523,STANCE,-0.6926,-0.1359,0.0144,1,0.721,0.805,0.679,STANCE,-0.6693,0.2426,0.0145,1,0.480,1.089,0.989,STANCE
