1,15.3462,1.00e-04,0.1
2,14.1072,9.99e-05,0.1
3,13.8572,9.98e-05,0.1
4,13.6525,9.96e-05,0.1
5,13.4699,9.94e-05,0.1
6,13.3272,9.91e-05,0.1
7,13.1891,9.88e-05,0.1
8,13.0667,9.84e-05,0.1
9,12.9498,9.80e-05,0.1
10,12.8377,9.76e-05,0.1
11,13.0526,9.70e-05,0.5
12,12.9425,9.65e-05,0.5
13,12.8543,9.59e-05,0.5
14,12.7717,9.52e-05,0.5
15,12.7070,9.46e-05,0.5
16,12.6418,9.38e-05,0.5
17,12.5866,9.30e-05,0.5
18,12.5308,9.22e-05,0.5
19,12.4791,9.14e-05,0.5
20,12.4252,9.05e-05,0.5
21,12.9862,8.95e-05,1.5
22,12.9197,8.85e-05,1.5
23,12.8725,8.75e-05,1.5
24,12.8328,8.64e-05,1.5
25,12.7893,8.54e-05,1.5
26,12.7518,8.42e-05,1.5
27,12.7195,8.31e-05,1.5
28,12.6947,8.19e-05,1.5
29,12.6559,8.06e-05,1.5
30,12.6373,7.94e-05,1.5
31,12.6052,7.81e-05,1.5
32,12.5837,7.68e-05,1.5
33,12.5592,7.55e-05,1.5
34,12.5363,7.41e-05,1.5
35,12.5260,7.27e-05,1.5
36,12.4955,7.13e-05,1.5
37,12.4960,6.99e-05,1.5
38,12.4693,6.84e-05,1.5
39,12.4442,6.69e-05,1.5
40,12.4495,6.55e-05,1.5
41,12.4173,6.39e-05,1.5
42,12.3997,6.24e-05,1.5
43,12.3892,6.09e-05,1.5
44,12.3724,5.94e-05,1.5
45,12.3624,5.78e-05,1.5
46,12.3393,5.63e-05,1.5
47,12.3372,5.47e-05,1.5
48,12.3211,5.31e-05,1.5
49,12.3068,5.16e-05,1.5
50,12.2984,5.00e-05,1.5
51,12.2874,4.84e-05,1.5
52,12.2810,4.69e-05,1.5
53,12.2760,4.53e-05,1.5
54,12.3017,4.37e-05,1.5
55,12.2604,4.22e-05,1.5
56,12.2500,4.06e-05,1.5
57,12.2371,3.91e-05,1.5
58,12.2274,3.76e-05,1.5
59,12.2241,3.61e-05,1.5
60,12.2149,3.45e-05,1.5
61,12.2029,3.31e-05,1.5
62,12.2084,3.16e-05,1.5
63,12.1916,3.01e-05,1.5
64,12.1973,2.87e-05,1.5
65,12.1895,2.73e-05,1.5
66,12.1763,2.59e-05,1.5
67,12.1780,2.45e-05,1.5
68,12.1639,2.32e-05,1.5
69,12.1665,2.19e-05,1.5
70,12.1567,2.06e-05,1.5
71,12.1696,1.94e-05,1.5
72,12.1451,1.81e-05,1.5
73,12.1550,1.69e-05,1.5
74,12.1415,1.58e-05,1.5
75,12.1422,1.46e-05,1.5
76,12.1453,1.36e-05,1.5
77,12.1342,1.25e-05,1.5
78,12.1339,1.15e-05,1.5
79,12.1268,1.05e-05,1.5
80,12.1301,9.55e-06,1.5
81,12.1246,8.65e-06,1.5
82,12.1163,7.78e-06,1.5
83,12.1252,6.96e-06,1.5
84,12.1233,6.18e-06,1.5
85,12.1204,5.45e-06,1.5
